Average error of all the flows : 126.92
Flow Id 	 Estimated Size 	 Actual Size
159.178.108.111	10506	9848
70.187.95.95	10305	9510
104.17.183.118	10144	9956
104.154.198.228	9861	9835
159.178.237.53	9756	9681
187.237.14.200	9747	9747
52.84.76.175	9472	9450
103.26.37.253	9331	9324
159.178.107.44	9309	8698
165.215.209.15	9145	8982
159.178.102.100	9002	8733
88.231.33.95	8968	8968
149.169.208.76	8935	8030
73.224.42.241	8930	8910
54.230.161.109	8677	8673
216.52.195.182	8621	8584
23.202.88.31	8499	8462
159.178.137.117	8472	7581
104.92.17.82	8436	8390
96.7.182.150	8384	8364
128.227.112.222	8259	7904
157.55.39.140	8060	8058
172.217.8.80	7973	7187
104.16.89.188	7867	7867
66.249.64.14	7812	7701
159.178.138.190	7808	642
69.252.101.144	7791	7763
34.206.148.175	7637	7485
156.154.65.196	7619	7597
63.251.240.12	7500	7380
174.70.89.126	7494	7291
91.198.117.247	7487	7394
68.64.22.136	7426	7262
192.210.199.106	7396	7374
159.178.129.91	7361	6783
159.178.112.71	7317	7315
8.27.160.227	7272	7272
120.239.64.18	7122	7122
159.178.115.102	7101	7063
159.178.129.112	7017	7011
73.224.76.160	6990	6946
98.18.16.218	6976	6944
71.6.146.185	6837	6808
98.18.150.191	6718	6714
95.101.36.67	6691	6666
112.198.103.2	6679	6652
54.192.205.183	6585	6537
159.178.100.33	6572	5996
159.178.108.48	6514	6501
209.112.113.33	6494	6487
159.178.100.162	6398	6392
198.102.61.236	6331	5752
159.178.119.40	6330	6164
198.245.89.70	6321	6296
104.92.16.146	6248	5571
171.161.207.200	6198	6136
159.178.100.82	6121	6058
66.231.139.112	6107	5862
159.178.100.84	6056	5867
192.227.145.51	5982	626
178.33.214.223	5950	5946
159.178.32.133	5914	5890
207.46.13.156	5914	5892
212.227.17.4	5811	5356
159.178.109.180	5792	5744
66.87.114.206	5741	5722
69.172.201.238	5701	5690
99.166.162.58	5691	5530
204.74.115.1	5683	5681
35.190.151.98	5585	5524
54.192.205.60	5569	5543
128.227.220.36	5527	5525
199.204.59.137	5516	5472
149.111.148.27	5432	5421
167.68.20.174	5423	5423
23.15.61.170	5416	5396
184.50.26.236	5402	5254
40.76.218.33	5391	5386
170.146.96.193	5304	4926
174.17.52.143	5303	4276
59.45.175.56	5300	5172
24.236.111.9	5277	5216
107.77.218.214	5264	5254
216.200.96.194	5205	5168
209.73.179.8	5186	5108
96.7.49.194	5164	5139
182.50.213.248	5155	2
167.78.2.65	5155	2278
216.58.219.67	5145	5122
128.227.236.254	5141	5102
159.178.100.234	5063	4717
159.178.108.184	5056	5038
188.184.36.52	5053	4904
61.184.81.245	5037	2
104.92.12.53	5020	5000
72.47.228.169	5020	4702
159.178.96.156	5019	4992
208.80.124.2	5011	5001
208.80.125.4	5007	4966
128.227.71.18	4970	4926
