Average error of all the flows : 280.1574
Flow Id 	 Estimated Size 	 Actual Size
167.212.7.1	10182	684
104.17.183.118	10151	9956
63.251.240.12	10071	7380
219.82.135.137	10071	1952
159.178.108.111	9840	9848
52.84.76.175	9792	9450
52.222.190.136	9792	14
104.154.198.228	9768	9835
187.237.14.200	9741	9747
159.178.237.53	9681	9681
1.9.98.109	9641	6
70.187.95.95	9506	9510
103.26.37.253	9322	9324
149.169.208.76	9184	8030
165.215.209.15	9156	8982
88.231.33.95	8968	8968
73.224.42.241	8774	8910
159.178.107.44	8772	8698
68.105.164.251	8772	160
159.178.102.100	8721	8733
216.52.195.182	8575	8584
23.202.88.31	8456	8462
209.123.198.200	8456	2
96.7.182.150	8344	8364
157.55.39.140	8263	8058
54.230.161.109	8092	8673
128.227.112.222	8014	7904
112.22.210.238	7932	28
88.9.214.147	7932	2
108.58.197.250	7926	20
104.16.89.188	7835	7867
69.252.101.144	7763	7763
159.178.137.117	7744	7581
66.249.64.14	7703	7701
173.252.85.224	7646	51
34.206.148.175	7646	7485
73.22.179.181	7646	2
156.154.65.196	7593	7597
174.17.52.143	7507	4276
120.239.64.18	7335	7122
58.53.186.86	7323	42
68.64.22.136	7323	7262
174.70.89.126	7256	7291
159.178.115.102	7222	7063
91.198.117.247	7196	7394
192.210.199.106	7178	7374
159.178.112.71	7160	7315
159.178.108.48	7025	6501
159.178.129.112	7022	7011
73.224.76.160	6940	6946
95.101.36.67	6859	6666
71.6.146.185	6804	6808
89.248.162.151	6804	12
159.178.129.91	6785	6783
178.33.214.223	6779	5946
98.18.150.191	6714	6714
172.217.8.80	6713	7187
54.192.205.183	6542	6537
173.225.52.218	6542	3
75.126.101.249	6542	4
209.225.49.205	6523	4
128.227.236.254	6515	5102
209.112.113.33	6489	6487
112.198.103.2	6484	6652
198.245.89.70	6452	6296
159.178.100.162	6386	6392
98.18.16.218	6298	6944
198.102.61.236	6223	5752
171.161.207.200	6158	6136
104.92.17.82	6136	8390
159.178.119.40	6076	6164
159.178.100.82	6070	6058
159.178.100.33	6002	5996
207.46.13.156	5902	5892
8.27.160.227	5900	7272
159.178.32.133	5863	5890
159.178.100.84	5859	5867
66.231.139.112	5800	5862
133.6.1.4	5790	18
204.74.115.1	5721	5681
192.3.152.104	5698	48
159.178.109.180	5684	5744
69.172.201.238	5641	5690
104.92.16.146	5572	5571
82.208.234.100	5571	9
128.227.220.36	5535	5525
35.190.151.98	5508	5524
149.111.148.27	5457	5421
167.68.20.174	5427	5423
184.50.26.236	5419	5254
40.76.218.33	5386	5386
212.227.17.4	5346	5356
23.15.61.170	5323	5396
59.45.175.56	5281	5172
213.14.195.203	5281	7
107.77.218.214	5252	5254
72.47.228.169	5241	4702
209.73.179.8	5225	5108
99.166.162.58	5210	5530
70.168.211.212	5210	20
